"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"
0.227911662218234	74.856698124951	0	0	0	0	1	0	0.333333333333333
2.63681584258047	122.831673767672	0	0	0	0	1	0	0.333333333333333
0.00260142469911798	65.5681676977382	0	0	0	0	1	0	0.333333333333333
0.41180311561471	84.8219485639488	9e-04	0	0	0	0	0	0
0.176935034691215	77.3283853661828	0	0	0	0	0	0	0
0.0528522538285957	100.320316597066	0	0	0	0	0	0	0
0.119844297777076	90.6682023497992	0.0133	0	0	0	0	1	0.333333333333333
3.75360952453511	83.6369246329745	1	0	1	0	0	0	0
0.260055396463073	100.441623611784	0	0	0	0	0	0	0
0.257859247167318	121.504348516305	0	0	0	0	0	0	0
1.55431497561646	80.4187330421732	0.6425	0	1	0	1	1	0.666666666666667
0.0187010430422126	88.382454588728	0	0	0	0	1	0	0.333333333333333
2.86595784339167	117.06264095154	0	0	0	0	1	0	0.333333333333333
0.100272567218727	109.993835808512	0	0	0	0	0	0	0
1.18706646610504	109.222079201242	0	0	0	0	1	0	0.333333333333333
2.16612745771163	112.686985121251	0	0	0	0	1	0	0.333333333333333
0.258786029127154	87.8512276262218	0.0155	0	0	0	1	0	0.333333333333333
1.32955391148281	86.0698311798597	0.3105	0.0934	0	0	1	1	0.666666666666667
2.07593963164777	73.1391086640192	0.9719	0.0016	1	0	1	1	0.666666666666667
0.47446064184708	74.4630991667019	0.3523	0.0026	0	0	1	0	0.333333333333333
0.0846229290317876	52.4560810810763	0.0549	0.0066	0	0	0	0	0
0.128102875262159	56.2843433107327	-0.0159	0.0257	0	0	0	0	0
0.305974884419039	103.828922226019	-0.0664	0.026	0	0	0	0	0
0.00819503107559801	103.246245144416	3e-04	0	0	0	0	0	0
1.45166620546634	77.9976889009389	0.2446	0	0	0	0	1	0.333333333333333
0.0820826723740779	67.9591210306614	0.0029	0	0	0	0	1	0.333333333333333
0.0256719402449713	82.1134666501548	-0.007	0.0063	0	0	0	0	0
3.82657214277578	95.5947373395157	0.9127	0.0873	1	0	1	1	0.666666666666667
1.00972282055363	74.0270516335648	0.4194	2e-04	0	0	1	0	0.333333333333333
0.326937033902738	77.5968454263607	-0.0336	0.0441	0	0	1	0	0.333333333333333
0.0821593544202704	79.8530767256492	0.0609	0.011	0	0	0	1	0.333333333333333
1.05246541260356	96.0056283227501	-0.0643	0.0237	0	0	1	1	0.666666666666667
1.6902574733697	89.640194137166	0.0743	0.0824	0	0	1	1	0.666666666666667
0.344623135440007	115.930570429535	-0.0838	0.0019	0	0	1	1	0.666666666666667
1.20121396813302	62.7210874510325	-0.3008	0.1475	0	1	1	1	1
0.266467614947424	44.1449160733727	0.0805	0.0406	0	1	1	0	0.666666666666667
0.514724972409314	30.1946951871296	-0.459	0.1521	0	1	0	1	0.666666666666667
3.90448904805126	37.0287742016128	0	1	1	1	0	1	0.666666666666667
1.97493324010862	68.5420102903868	0.6963	0.0463	1	1	0	0	0.333333333333333
2.9213557669202	114.549647530411	0.6819	0	1	1	0	0	0.333333333333333
0.568535622544377	97.6272055749015	0	0	0	1	0	0	0.333333333333333
0.333156367550855	48.4915748398973	-0.2997	0.0248	0	1	0	1	0.666666666666667
0.233217882441874	61.3955506489677	0.1399	0.0167	0	1	0	0	0.333333333333333
1.06665967393618	68.632929496836	-0.0608	0.3744	1	1	1	1	1
0.440149228143497	43.7910966740378	-0.0849	0	0	1	1	1	1
3.62485996772352	51.5264048697178	0.4327	0.5673	1	1	1	1	1
3.27896663400515	68.2799933029007	0	1	1	1	0	1	0.666666666666667
0.958233109621984	63.5653405797179	-0.0281	0.4225	1	1	1	1	1
2.29664990272152	90.6432547751217	-1	0	0	1	1	1	1
3.24947484065905	120.530322851163	0	0	0	1	1	0	0.666666666666667
0.0886353639517989	28.8911295601842	-0.2545	0	0	1	1	1	1
0.591617302603318	26.0866928771804	-0.309	0.1785	0	1	0	1	0.666666666666667
2.47459197420294	7.9648746168875	0.3369	0.3719	1	1	0	1	0.666666666666667
2.35870202156137	43.354147865757	0.354	0.1454	1	1	0	0	0.333333333333333
2.20978011825897	83.3052474562065	0.3453	0	0	1	0	0	0.333333333333333
0.898967963704111	101.561422953668	0	0	0	1	0	0	0.333333333333333
1.32372483897606	79.3670764954118	0.116	0	0	1	0	0	0.333333333333333
0.267478402158219	80.2126863123237	-0.1376	0	0	1	0	1	0.666666666666667
0.411588290708307	66.354157543434	-0.549	0.1335	0	1	1	1	1
0.283569151671501	59.4316565391334	-0.0966	0	0	1	1	0	0.666666666666667
2.53020992047512	31.9394660871473	0.5395	0.2463	1	1	1	0	0.666666666666667
1.47401888820123	15.8290579661766	-0.1681	0.3555	1	1	0	1	0.666666666666667
0.865274875137161	64.336058097867	-0.5767	0.1571	0	1	1	1	1
1.46331474882484	56.121585013486	-0.5582	3e-04	0	1	1	1	1
3.46788753934568	83.2137637300025	0.793	0	1	1	1	0	0.666666666666667
0.233583403123416	21.4930957848921	-0.1424	0.0909	0	1	0	1	0.666666666666667
0.640913969327861	63.5858263925141	0.0933	0.0794	0	1	0	0	0.333333333333333
1.0249014596753	17.4673841227452	-0.2103	0.298	1	1	0	1	0.666666666666667
1.40508938495931	92.1533632777013	0.0897	0	0	1	0	0	0.333333333333333
2.43467953715792	66.9254882987124	0	0	0	1	0	0	0.333333333333333
0.233141197149008	41.4482273991039	-0.0314	0.1596	0	1	0	0	0.333333333333333
0.000869912767285166	70.8163552157182	-9.99999999999998e-05	0	0	1	0	0	0.333333333333333
0.361114338402256	23.5395440309639	-0.1121	0.1819	0	1	1	1	1
3.36400652111782	111.82685827358	0.0194	0	0	1	1	0	0.666666666666667
2.0588590420213	138.291358737398	0	0	0	1	1	0	0.666666666666667
1.41901382866509	128.643632876647	0	0	0	1	0	0	0.333333333333333
3.18222600446177	101.434068556252	0.0011	0	0	1	1	0	0.666666666666667
