"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESARU"	"FESRUB"	"GALVER"	"GERROT"	"LEUVUL"	"LOLPER"	"LOTCOR"	"MEDARA"	"ONOREP"	"PICECH"	"PICHIE"	"PLALAN"	"POAANG"	"POAPRA"	"POATRI"	"RANACR"	"RUMACE"	"SALPRA"	"SONCHU"	"TAROFF"	"TRIPRA"	"VERBOF"
0	0	0.00942148187943347	0.0180162938036853	0.00165675862983134	0.0568366236052256	0	0	0.0269463463692768	0.0194330780091708	1	0.0339879282435926	0	0	1	0	0	0	0	1	0.0294368062862476	0.00440707080788106	0.0216688711162774	0.00657110453709575	0	0.0756563004257887	0	0.0403505039974131	0	0.273657355913739	0.00333323055762055	0.0874572752460983
0	0	0.0026965693757938	0.0443185764213286	0	1	0	0	0	0	0	1	0.00979980866650437	0	1	0	0.00185134847518866	0	0.00222332852916635	1	0	0	0	0.00102283037367055	0.0193996677158743	0	0.00416661423577971	0	0	1	0	0
1	0	0.00444357800051759	0	0	0	0	0	0	0	1	0.0354469699409654	0	1	1	1	0	0	0.00551861151879792	1	0.01156325149116	0	0	0	0	1	0	0	0	1	0.00465335932858021	0
1	0	0	0	0.0378365149547778	1	0	0	0.0277657299031219	0.000147219595683927	1	0	0	0.000147219595637738	1	0.0523308389229835	1	1	1	0.0313306876916483	0	0	0	0.0125628713334934	1	1	1	0.177650552816791	0.0490915162819457	1	0	1
0.0226298333544793	0	0	0	0	0	0	0	0	0	0	0.00685409434800944	0	1	0	0	0	0	0.0817818741534548	0	0.00158714610328228	0.00587953445497172	0	0.00186368752718432	1	0	0	0	0.00917496254998918	0	0	0
0	0	0.00656066567452578	0.0072653092704109	0	0.0288836540775005	0	0.00716168528388808	0.0105439616650957	0	0.00139764814284553	0.00301129993432231	0	0.0125213065653927	0	0.0116570891461134	0.00224381912678366	0	0	0.0554756834490036	0	0	0	0	0	0	0.000913000527396802	0	0.00572572261753623	0	0.00347139895016842	0
0.00406754385474099	0	0.00601128362818304	0	0.00476756473696608	0	0.0031467660221067	0.00131399966861063	0.00348263099638501	0	0	0.00474012553005527	0.000147702010599049	0.00760264800121063	0	0	0	0.00958495015415802	0	0.0780915430460257	0.00752757927508081	0	0.005401698772665	0.0192009078743695	0.531291868134479	0.000108967529150645	0.010085421668769	0.00260775685879094	0.001820489304881	0	0	0.00034442902353773
0.00382599413556015	0.00509123243604293	0.0109265078448123	0.0124822475354547	0	0.00291307168017385	0.00621488228215745	0.00724488151246406	0	0.0073610406860644	0.0167581698810468	0	0	0	0.00198967259997105	0.000425497030268176	0.00721101858234309	0	0	0.392866145700614	0	0	0	0	0.023629436779044	0	0	0.0096440840247868	0	0	0	0
0	0	0	0.00173184289077581	0	0.0083750950832437	0	0	0.00287244756662503	0	0	1	0	0	1	0	0.00179019771829856	0	0	1	1	0	0.00081440766862451	0	0.0785091298170824	0	0	0	0.0063709537053768	1	0	1
0.00370889325852936	0	0.00202790342644169	0.00339174874596487	0	0.00279056082032427	0	0	0.000639468165848748	0	0.0101319292337781	0.563846546152952	0	0.00412800123537705	0.00735243082919241	0	0	0.148842573851608	1	1	0	0	0	0	0	0	0	0	0	0.00787321611146727	0	0
0.0071588070419431	0	0.00197977634491548	0	0	0	0	0	0	0	0	0	0	0	0	0.0174764852327552	0	0	0	1	0	0	0	0	0	0	0	0	0.0187159631419882	0	0	0.00131933529899527
0	0	0	0.00632534278428756	0	0.0119668043130348	0	0	0	0	0.0110460269584056	0	0	0.005786306176984	0	0	0.0132350340271419	0	0.0112161319073284	0.0446506637506406	0	0	0	0	0	0	0	0	0.00461463369273674	0	0	0
0.00138963917925118	0.00109350516965299	0.00136758989275473	0	0	0	0	0	0	0	1	0.0023971183050608	0	0	0	0	0	0.0371487392110223	0	0.546950542062761	0.00741216630172737	0	0.00206072185697858	0	0.692977401464677	0.00489373965882568	0	0	0.00433548908262852	0	0.000582266610578303	0
