"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"FESRUB"	0.191969628991763	0.0367415258389135	0.0168918296577398	-0.0122935393204996	1e-15	-0.385550982639616	-0.056672454850406	0.000909994456566666	-0.379200717833511	0.0751493083713727	-0.241116798040584	0.105546021431397	0.120691528979367	0.147674836322447	0.0417546908584414	-0.100976533934359	0.0612915912724242	0.121146337242973	0.165405774054825	-0.0141535279860428	-0.304809504870579	0.156188346981207
"GALVER"	-0.126931802836514	-0.0116464986329572	-0.0382260717848211	-0.0398991223533285	0.0363288369301036	0.0538599873400381	0.00132451302036715	0.00535739465970535	0.00865539298415952	0.0327484904686251	0.267996886317177	0.119044786500557	0.0414118324306373	0.0715502347725572	0.036195490629362	-0.0369262144257383	-0.0161459093478151	-0.0185420581358444	-0.242288989784666	-0.0561205523692272	0.035866871154057	0.0680418628200077
"LEUVUL"	0.342069796448342	0.0102809259775637	0.0119365760972703	-0.0383526151542589	-0.027633218205786	0.161236781242451	0.0435140605068654	0.000802406316283323	-0.0646384818632506	0.178381838723491	0.0731150057868126	0.0111772365270728	0.00405604847771204	-0.134793611291849	1e-15	0.0589516674012849	-0.0554818069575445	0.150743566599663	0.0635308003215122	0.0719333443219033	0.11888472518906	0.0177023830942378
"ONOREP"	-0.440033149777876	0.0743431993521478	0.00597720358205424	-0.187955140235	-0.0104242814353982	0.018297585365909	0.0579452300573893	-0.0480481297856715	0.0701585383242917	-0.0010958784268931	0.280618136810731	0.00548895856406566	0.18896696657801	-0.0282873396079835	-0.00639603160708955	0.0162546153451085	-0.37345808667224	-0.363410168827598	0.210212647968539	0.0464565646569859	0.486883278511753	-0.0542832336204465
"PICECH"	0.0275203571276726	0.0211501281767125	-0.0844384981126796	-0.0488815648730646	-0.163458134719793	-0.349901618505969	0.208113155706776	-0.0981246217956714	-0.0573955101552522	-0.0602725373413243	-0.0632240267547125	-0.0239905977128784	-0.533056920984732	0.11255649629024	-0.119174213584082	0.0648714975265167	0.0686492729313373	0.140598074607665	0.0984143907563515	-0.0959987478096136	-0.0253170169062717	-0.236005388032234
"PLALAN"	-0.018243463195819	0.00222386384163809	-0.0345505104312932	0.0326724541679552	0.0276259846574441	-0.0436769361337466	0.0190176236887821	-0.0198077432267622	0.0365773335161675	-0.0156730937223295	-0.111283349428653	-0.0411643893184134	0.132043167571241	-0.0231402781174421	-0.0692887789547018	-0.0520566110507	0.0482484796982995	-0.0411576678485268	0.0260131940715884	-0.0718201726957736	0.0107145583892326	-0.039247404125997
"POAANG"	-0.0946430124658535	0.0140401774773924	-0.00582055659905511	-0.0316333043365677	-0.00932466764892895	-0.114611967967108	-0.0409682649855832	0.0237116910476472	0.126227154704453	0.0476689080886692	0.161231716255173	-0.0414387720310683	-0.047441188405172	-0.102436880680868	-0.0590983897311191	-0.0353603323359424	-0.033839526842092	0.363694986926431	0.0212507950874812	-0.0509706598512399	-0.0253695319088746	0.0335701038791132
"RANACR"	0.153853464323093	0.00930667231321104	-0.0177159545430831	0.135677622691788	-0.0465570214079877	-0.145178354830873	-0.0270221180259593	0.0242831178011678	-0.0526792987421205	-0.169968636360257	0.118106236588015	-0.0278663912547976	0.160426285878406	-0.0536414059973881	0.0625481903701266	0.0110221340307827	0.0254748517472933	-0.359932996983308	-0.0315866289422912	-0.0900356690484175	0.0601952322662747	-0.0400425034891411
"RUMACE"	0.0607193274454392	0.0020619050560048	0.0154533389343306	-0.0488466267786637	1e-15	0.035765067945945	0.019299220521522	0.0431717406256374	1e-15	1e-15	0.00242820706598376	-0.100443102664873	-0.0489574247610144	1e-15	-0.0158612795425781	0.0208911368102062	1e-15	0.149170606260144	-0.145999024622372	0.00208179725577473	0.138030874640668	0.0149565004829375
"SALPRA"	-0.120280317427399	0.0179368859094274	-0.00168649386765674	-0.0772135407330597	-0.00917045614210105	-0.119347535515131	0.0300412831265387	0.0197082210885569	-0.0275771555239192	0.1643731646738	-0.381752800236738	0.05244711708749	0.25465716873376	-0.167866626509297	0.00500716172683746	0.00570130789127335	-0.0170334240178013	-0.216248347040675	0.506087024627977	-0.084063698413432	-0.210152474638525	-0.0270896864277083
"TAROFF"	0.428449156309346	0.0772588376177625	0.0106666241708103	0.306307007413722	-0.0764323871558126	0.0602998781192792	0.0537813658953874	-0.089588297559236	-0.269902057546724	-0.0334686100342644	0.0530354855798076	-0.00626191168637023	-0.178492649533727	-0.0316275443450591	0.207345570208497	0.0612143558334309	-0.053508895652039	0.0777067945260932	-0.0943056894332633	-0.30566330067067	-0.228086942939764	-0.160628646803486
"TRIPRA"	0.414888911896947	0.0660417513171134	0.0018847218598546	-0.0183545055382646	0.413514781912871	0.458648282310075	0.259346312912821	0.0201533017395711	0.0819108894726467	0.203878917273384	-0.072113470396455	-0.0126987031501329	0.28083061953499	-0.0463030696964352	0.00286988079192117	-0.0185309086882987	-0.0100932703691577	-0.134003289539742	-0.0480141226778399	-0.291986778463049	-0.00256482814221649	-0.389970182879469
