"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"FESRUB"	1e-15	-0.00197928406958031	-0.00241588474177149	1e-15	1e-15	0.0588230735259702	-0.00544267761078867	1e-15	1e-15	1e-15	1e-15	0.00225897511720562	-0.0144878222266818	0.00677501844535229	1e-15	0.0101221066323678	1e-15	0.0127483505431533	1e-15	1e-15	-0.00769914760462484	1e-15	NA	NA	NA	NA	-0.0558143641082144	1e-15
"GALVER"	0.00307980145442172	-0.00167792932871527	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00422912554003544	1e-15	-0.0123235060211451	-0.0082780319460602	1e-15	-0.0120521606486201	1e-15	0.0104270352542015	1e-15	1e-15	0.00796660072222629	1e-15	1e-15	0.00364243960921784	0.00307980145442172	1e-15	-0.00167792932871527	1e-15	1e-15	1e-15
"LEUVUL"	1e-15	1e-15	1e-15	0.010742202992546	1e-15	-0.0107653854197918	0.00153529757033325	-0.000163755342974564	-0.00168391818351842	0.00684566125168407	1e-15	1e-15	1e-15	0.00583396264765423	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.00655293392086634	1e-15	NA	NA	NA	0.00761667430721195	1e-15	1e-15
"ONOREP"	1e-15	1e-15	-0.00254669168444172	1e-15	1e-15	-0.0276950657695056	1e-15	1e-15	1e-15	0.024080386846883	1e-15	0.0117318546163372	1e-15	1e-15	0.0101304242475869	1e-15	0.00266229208847086	0.0657235964027339	1e-15	1e-15	-0.020473284771966	-0.00211526707454812	NA	NA	NA	NA	NA	-0.14700613511385
"PICECH"	1e-15	1e-15	1e-15	1e-15	-0.0566260523231225	1e-15	0.00190433852289441	1e-15	-0.0121395630005566	0.0125964032876528	0.0270267209667494	1e-15	-0.025607936177542	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00231336117785747	-0.00535793309700291	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0566260523231225
"PLALAN"	1e-15	1e-15	0.00110494093060526	-0.0171131422351901	1e-15	0.00810852400913994	1e-15	1e-15	1e-15	0.00215836824771446	1e-15	0.00674814738516018	1e-15	0.00242181342160515	1e-15	0.00817506876634815	-0.00747548476955003	0.00720407090132393	1e-15	0.00955255096527807	1e-15	0.00177377068914905	NA	NA	NA	-0.000603036782284502	-0.00861395451588706	1e-15
"POAANG"	-0.00858732036594553	-0.000515089597452068	-0.00104247761393004	-0.000112557450644964	1e-15	-0.00141243061773763	0.000161692076986657	-0.00124047631519257	-0.015248976298175	-0.00175117293976941	-0.00937133811433002	0.00230366403628764	0.00305634040510748	3.55755620658075e-06	0.00662442860831948	-0.00126928813407769	0.00968943147988559	-0.0171162333236117	1e-15	0.0131507785482573	1e-15	1e-15	-0.0261393716053095	-0.00858732036594553	1e-15	-0.000515089597452068	-0.00104247761393004	-0.000112557450644964
"RANACR"	-0.00670625343207546	0.00235115705185752	0.00243078185252107	-0.0118584328327269	-0.00546175541399359	1e-15	1e-15	0.000721351770347315	0.0129083171857758	0.0180178903598241	0.00471350942521408	0.000789619653976718	-0.00631702644326526	0.00210850189225238	0.00056384362737007	-0.000296605009545929	-0.00954606855903649	0.00322570311523178	0.0103629609738652	0.0111589229184061	0.00224799623796982	-0.00147427844241858	NA	NA	NA	0.00450481243077638	NA	0.00287788626434351
"RUMACE"	-0.0172394710755841	1e-15	4.57072480752895e-06	1e-15	1e-15	0.0133298292513979	1e-15	0.00138254588174498	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.00292976137803043	0.0231715405996918	0.000190930987294221	1e-15	1e-15	-0.0172394710755841	1e-15	1e-15	4.57072480752895e-06	1e-15	1e-15
"SALPRA"	0.0545345460936717	1e-15	0.00029226757084994	1e-15	0.00154003908491882	1e-15	1e-15	1e-15	1e-15	-0.0105273061891039	0.023340420477593	1e-15	1e-15	1e-15	1e-15	1e-15	0.00245278365019355	0.0056456580460849	1e-15	0.00212219121996549	1e-15	-0.00458650097893079	NA	NA	NA	0.0375690352973462	0.0545345460936717	1e-15
